code,name,legacyCodes,scene,domain,metricType,unit,aggregation,direction,definition,formula,sourceIds,sourceLocators,provenanceLevel,reviewStatus,reviewDecision,reviewComment
CNB001,各项存款余额,ZB001,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计各项存款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB002,对公存款余额,ZB003,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计对公存款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB003,个人存款余额,ZB004,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计个人存款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB004,活期存款余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计活期存款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB005,定期存款余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计定期存款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB006,单位活期存款余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计单位活期存款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB007,单位定期存款余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计单位定期存款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB008,个人活期存款余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计个人活期存款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB009,个人定期存款余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计个人定期存款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB010,财政性存款余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计财政性存款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB011,同业存款余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计同业存款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB012,保证金存款余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计保证金存款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB013,通知存款余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计通知存款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB014,结构性存款余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计结构性存款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB015,大额存单余额,,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计大额存单余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB016,各项贷款余额,ZB002,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计各项贷款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
CNB017,对公贷款余额,ZB005,OPERATIONS,assets_liabilities_deposits_loans,BASE,万元,SNAPSHOT,CONTEXT_DEPENDENT,统计对公贷款余额在指定期间或时点的报告值，用于观察银行资产负债结构、资金来源和信贷投向；正式发布前须核验范围、计量基础和时间口径。,,PBC-JRT-0134-2016|SAMR-JRT-0135-2016|NFRA-MAJOR-INDICATORS-2025,存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验|存贷款分类与主要监管指标主题，具体条目待人工核验,NEEDS_HUMAN_VERIFICATION,CANDIDATE,,
